5,4,5,4,4,3,3,3,2,2,2,3,4,4,4,4,2,2,1,2,High,"Creative Director, Research Scientist",Moderate,"Project Coordinator, Teacher",Low,"Writer, Software Developer",High,"Counselor, Non-Profit Manager",Low,"Pilot, Surgeon"
4,4,3,3,2,2,2,2,5,5,5,5,4,4,3,4,2,2,2,2,Moderate,"Graphic Designer, Marketing Specialist",Low,"Artist, Musician",High,"Sales Manager, Public Speaker",Moderate,"Mediator, Journalist",Low,"Pilot, Surgeon"
2,2,2,2,2,3,3,4,3,4,2,2,4,4,4,4,5,2,3,3,Low,"Technician, Data Entry Clerk",Moderate,"Project Coordinator, Teacher",Moderate,"Customer Support, Teacher",High,"Counselor, Non-Profit Manager",Moderate,"Therapist, Musician"
1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,Low,"Technician, Data Entry Clerk",Low,"Artist, Musician",Moderate,"Customer Support, Teacher",High,"Counselor, Non-Profit Manager",High,"Artist, Writer"
2,2,2,2,1,1,1,1,4,4,4,4,3,3,3,3,5,5,5,5,Low,"Technician, Data Entry Clerk",Low,"Artist, Musician",High,"Sales Manager, Public Speaker",Moderate,"Mediator, Journalist",High,"Artist, Writer"
3,3,3,3,2,2,2,2,5,5,5,5,4,4,4,4,1,1,1,1,Moderate,"Graphic Designer, Marketing Specialist",Low,"Artist, Musician",High,"Sales Manager, Public Speaker",High,"Counselor, Non-Profit Manager",Low,"Pilot, Surgeon"
4,4,4,4,3,3,3,3,2,2,2,2,5,5,5,5,1,1,1,1,High,"Creative Director, Research Scientist",Moderate,"Project Coordinator, Teacher",Low,"Writer, Software Developer",High,"Counselor, Non-Profit Manager",Low,"Pilot, Surgeon"
5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,High,"Creative Director, Research Scientist",High,"Data Analyst, Engineer",Moderate,"Customer Support, Teacher",Low,"Lawyer, Debater",Low,"Pilot, Surgeon"
1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,Moderate,"Graphic Designer, Marketing Specialist",Moderate,"Project Coordinator, Teacher",Moderate,"Customer Support, Teacher",Moderate,"Mediator, Journalist",Moderate,"Therapist, Musician"
2,2,3,3,4,4,5,5,2,2,1,1,4,4,1,1,5,5,1,1,Moderate,"Graphic Designer, Marketing Specialist",High,"Data Analyst, Engineer",Low,"Writer, Software Developer",Moderate,"Mediator, Journalist",Moderate,"Therapist, Musician"
3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,1,3,5,2,2,Moderate,"Graphic Designer, Marketing Specialist",High,"Data Analyst, Engineer",Low,"Writer, Software Developer",Low,"Lawyer, Debater",Moderate,"Therapist, Musician"
4,4,4,4,2,2,3,3,3,5,5,5,1,1,1,1,5,5,5,5,High,"Creative Director, Research Scientist",Moderate,"Project Coordinator, Teacher",High,"Sales Manager, Public Speaker",Low,"Lawyer, Debater",High,"Artist, Writer"
1,1,1,1,3,4,4,2,4,2,4,2,3,1,3,1,5,2,5,2,Low,"Technician, Data Entry Clerk",Moderate,"Project Coordinator, Teacher",Moderate,"Customer Support, Teacher",Low,"Lawyer, Debater",Moderate,"Therapist, Musician"
2,2,1,1,1,1,1,1,3,3,3,3,4,4,4,4,5,5,5,5,Low,"Technician, Data Entry Clerk",Low,"Artist, Musician",Moderate,"Customer Support, Teacher",High,"Counselor, Non-Profit Manager",High,"Artist, Writer"
5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,Moderate,"Graphic Designer, Marketing Specialist",Moderate,"Project Coordinator, Teacher",Moderate,"Customer Support, Teacher",Moderate,"Mediator, Journalist",Moderate,"Therapist, Musician"
5,1,4,3,2,5,1,4,3,2,5,1,4,3,2,5,1,4,3,2,Moderate,"Graphic Designer, Marketing Specialist",Moderate,"Project Coordinator, Teacher",Moderate,"Customer Support, Teacher",Moderate,"Mediator, Journalist",Moderate,"Therapist, Musician"
1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,Low,"Technician, Data Entry Clerk",Low,"Artist, Musician",Low,"Writer, Software Developer",Low,"Lawyer, Debater",Low,"Pilot, Surgeon"
1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,5,5,Low,"Technician, Data Entry Clerk",Low,"Artist, Musician",Low,"Writer, Software Developer",High,"Counselor, Non-Profit Manager",High,"Artist, Writer"
1,2,2,2,1,1,1,2,3,3,4,1,4,3,5,5,3,3,3,3,Low,"Technician, Data Entry Clerk",Low,"Artist, Musician",Moderate,"Customer Support, Teacher",High,"Counselor, Non-Profit Manager",Moderate,"Therapist, Musician"
4,1,4,1,5,5,5,5,3,3,3,3,1,1,1,1,5,5,5,5,Moderate,"Graphic Designer, Marketing Specialist",High,"Data Analyst, Engineer",Moderate,"Customer Support, Teacher",Low,"Lawyer, Debater",High,"Artist, Writer"
2,5,1,1,2,2,5,5,3,4,1,1,5,5,5,5,3,5,5,5,Low,"Technician, Data Entry Clerk",Moderate,"Project Coordinator, Teacher",Low,"Writer, Software Developer",High,"Counselor, Non-Profit Manager",High,"Artist, Writer"
